Item,Price,Source,Page,Section
"Chimes, Hand-held",5,Auroras,26,Bards’ Emporium
Hand-Drum,20,Auroras,26,Bards’ Emporium
"Rattle, Small",5,Auroras,26,Bards’ Emporium
"Rattle, Moderate",7,Auroras,26,Bards’ Emporium
"Rattle, Large",10,Auroras,26,Bards’ Emporium
Tantan,12,Auroras,26,Bards’ Emporium
Tocken,25,Auroras,26,Bards’ Emporium
Wargong,varies,Auroras,26,Bards’ Emporium
Bamsmacks,5,Auroras,27,Bards’ Emporium
Smokers,3,Auroras,27,Bards’ Emporium
Bladders (5),1,Auroras,27,Bards’ Emporium
"Ladder of Elminster, 5’",0.5,Auroras,27,Bards’ Emporium
"Ladder of Elminster, 8’",7,Auroras,27,Bards’ Emporium
"Ladder of Elminster, 10’",8,Auroras,27,Bards’ Emporium
Jester Hat w/Bells,3,Auroras,27,Bards’ Emporium
Jester Collar w/Bells,1,Auroras,27,Bards’ Emporium
Jester Satin Shirt,10,Auroras,27,Bards’ Emporium
"Jester Gloves, white",0.7,Auroras,27,Bards’ Emporium
Jester Pantaloons,8,Auroras,27,Bards’ Emporium
Jester Stockings,0.8,Auroras,27,Bards’ Emporium
Jester Shoes,12,Auroras,27,Bards’ Emporium
"Jugglables, Leather Balls",0.5,Auroras,28,Bards’ Emporium
"Jugglables, Bean-Bags",0.07,Auroras,28,Bards’ Emporium
"Jugglables, Clubs",1,Auroras,28,Bards’ Emporium
"Jugglables, Knives",0.07,Auroras,28,Bards’ Emporium
"Jugglables, Plates",0.4,Auroras,28,Bards’ Emporium
"Jugglables, Brass Stars",2,Auroras,28,Bards’ Emporium
Leaping Lever,,Auroras,28,Bards’ Emporium
"Masks, Spruce",5,Auroras,28,Bards’ Emporium
"Masks, Black Pantomime",1,Auroras,28,Bards’ Emporium
"Mask, Specialty",8,Auroras,28,Bards’ Emporium
Makeup,varies,Auroras,28,Bards’ Emporium
Plate Spinner Pins,0.03,Auroras,29,Bards’ Emporium
"Plate Spinner Plates, Wooden",0.2,Auroras,29,Bards’ Emporium
Plate Spinner Stand,0.1,Auroras,29,Bards’ Emporium
Marked Cards,3,Auroras,29,Bards’ Emporium
Cards Strung Together,4,Auroras,29,Bards’ Emporium
Hollow-Topped Hat,3,Auroras,29,Bards’ Emporium
Pocketed Scarves,1,Auroras,29,Bards’ Emporium
Foldable Cane,4,Auroras,29,Bards’ Emporium
Flowering Rods,4,Auroras,29,Bards’ Emporium
Retractable Knives,3,Auroras,29,Bards’ Emporium
Puppets/Marionettes,7,Auroras,29,Bards’ Emporium
"Puppets, Silk Dragon",15,Auroras,29,Bards’ Emporium
"Speaking Horn, Birchwood",3,Auroras,29,Bards’ Emporium
"Speaking Horn, Leather",5,Auroras,29,Bards’ Emporium
"Stilts, 1’",2,Auroras,29,Bards’ Emporium
"Stilts, 2’",3,Auroras,29,Bards’ Emporium
"Stilts, 4’",4,Auroras,29,Bards’ Emporium
"Stilts, 8’",6,Auroras,29,Bards’ Emporium
"Stilts, 12’",8,Auroras,29,Bards’ Emporium
"Stilts, 20’",12,Auroras,29,Bards’ Emporium
"Tightrope, Banded Steel",6,Auroras,30,Bards’ Emporium
Walking Ball,7,Auroras,30,Bards’ Emporium
Walking Wheel,4,Auroras,30,Bards’ Emporium
"Altar Case, Spruce",15,Auroras,31,Priests’ Alcove
"Altar Case, Granite",40,Auroras,31,Priests’ Alcove
"Altar Cloth, Linen",15,Auroras,31,Priests’ Alcove
"Altar Cloth, Velvet",30,Auroras,31,Priests’ Alcove
"Altar Cloth, Silk",35,Auroras,31,Priests’ Alcove
"Altar Cloth, Gold Brocade",40,Auroras,31,Priests’ Alcove
"Altar Cloth, Altar Case Size",3,Auroras,31,Priests’ Alcove
"Aspergill, Gold",45,Auroras,31,Priests’ Alcove
"Aspergill, Silver",20,Auroras,31,Priests’ Alcove
"Brazier, Gold, Large",110,Auroras,32,Priests’ Alcove
"Brazier, Gold, Medium",70,Auroras,32,Priests’ Alcove
"Brazier, Silver, Large",70,Auroras,32,Priests’ Alcove
"Brazier, Silver, Medium",30,Auroras,32,Priests’ Alcove
"Brazier, Silver, Field",15,Auroras,32,Priests’ Alcove
"Brazier, Bronze, Large",30,Auroras,32,Priests’ Alcove
"Brazier, Bronze, Medium",17,Auroras,32,Priests’ Alcove
"Brazier, Bronze, Field",4,Auroras,32,Priests’ Alcove
"Candle, 1-6’, per foot",4,Auroras,32,Priests’ Alcove
"Candle, 8-hour vigil",10,Auroras,32,Priests’ Alcove
"Candle, 12-hour",0.4,Auroras,32,Priests’ Alcove
"Candlestick, Gold",20,Auroras,32,Priests’ Alcove
"Candlestick, Silver",12,Auroras,32,Priests’ Alcove
"Candelabra, 6 candle, Gold",35,Auroras,32,Priests’ Alcove
"Candelabra, 6 candle, Silver",20,Auroras,32,Priests’ Alcove
"Candelabra, 12 candle, Gold",45,Auroras,32,Priests’ Alcove
"Candelabra, 12 candle, Silver",25,Auroras,32,Priests’ Alcove
"Candle Hood, Gold",7,Auroras,32,Priests’ Alcove
"Candle Hood, Silver",1,Auroras,32,Priests’ Alcove
"Censer, Gold",5,Auroras,33,Priests’ Alcove
"Censer, Silver",3,Auroras,33,Priests’ Alcove
"Censer, Brass",1,Auroras,33,Priests’ Alcove
"Holy Symbol, Gold",10,Auroras,33,Priests’ Alcove
"Holy Symbol, Silver",4,Auroras,33,Priests’ Alcove
"Holy Symbol, Bronze",1,Auroras,33,Priests’ Alcove
Razor and Cap,4,Auroras,34,Priests’ Alcove
Snuffing Bell,6,Auroras,34,Priests’ Alcove
"Incense, Air, 12 sticks",5,Auroras,34,Priests’ Alcove
"Incense, Chance, 12 sticks",9,Auroras,34,Priests’ Alcove
"Incense, Charisma, 12 sticks",10,Auroras,34,Priests’ Alcove
"Incense, Constitution, 12 sticks",10,Auroras,34,Priests’ Alcove
"Incense, Dexterity, 12 sticks",10,Auroras,34,Priests’ Alcove
"Incense, Divination, 12 sticks",,Auroras,35,Priests’ Alcove
"Incense, Dream, 12 sticks",12,Auroras,35,Priests’ Alcove
"Incense, Earth, 12 sticks",12,Auroras,35,Priests’ Alcove
"Incense, Fire, 12 sticks",12,Auroras,35,Priests’ Alcove
"Incense, General, 12 sticks",,Auroras,35,Priests’ Alcove
"Incense, Healing, 12 sticks",,Auroras,35,Priests’ Alcove
"Incense, Honors, 12 sticks",,Auroras,35,Priests’ Alcove
"Incense, Intelligence, 12 sticks",,Auroras,35,Priests’ Alcove
"Incense, Love, 12 sticks",,Auroras,35,Priests’ Alcove
"Incense, Lycanthropy, 12 sticks",8,Auroras,35,Priests’ Alcove
"Incense, Protection, 12 sticks",15,Auroras,35,Priests’ Alcove
"Incense, Psionic, 12 sticks",10,Auroras,35,Priests’ Alcove
"Incense, Purification, 12 sticks",,Auroras,35,Priests’ Alcove
"Incense, Rain, 12 sticks",10,Auroras,35,Priests’ Alcove
"Incense, Strength, 12 sticks",10,Auroras,35,Priests’ Alcove
"Incense, Study, 12 sticks",12,Auroras,35,Priests’ Alcove
"Incense, Temple, 12 sticks",5,Auroras,35,Priests’ Alcove
"Incense, Vision, 12 sticks",10,Auroras,36,Priests’ Alcove
"Incense, Water, 12 sticks",,Auroras,36,Priests’ Alcove
"Incense, Wisdom, 12 sticks",,Auroras,36,Priests’ Alcove
Spell Components,varies,Auroras,36,Priests’ Alcove
Alembic,10,Auroras,39,Wizards’ Laboratory
"Apron, Stain/Acid/Fire",4,Auroras,39,Wizards’ Laboratory
"Apron, Beard Pocket/Hood",10,Auroras,39,Wizards’ Laboratory
Astrolabe,8,Auroras,39,Wizards’ Laboratory
Armillary Sphere,60,Auroras,40,Wizards’ Laboratory
"Bag, Tea",0.01,Auroras,40,Wizards’ Laboratory
"Bag, Hand",0.03,Auroras,40,Wizards’ Laboratory
"Bag, Loaf",0.06,Auroras,40,Wizards’ Laboratory
"Bag, Flour",0.08,Auroras,40,Wizards’ Laboratory
"Bag, Grain",0.1,Auroras,40,Wizards’ Laboratory
Balance,30,Auroras,40,Wizards’ Laboratory
"Beaker, Small",0.5,Auroras,40,Wizards’ Laboratory
"Beaker, Medium",1,Auroras,40,Wizards’ Laboratory
"Beaker, Large",3,Auroras,40,Wizards’ Laboratory
"Glass Tubing, 2’",0.2,Auroras,40,Wizards’ Laboratory
Distilling Coil,5,Auroras,40,Wizards’ Laboratory
Cork Stopper,0.5,Auroras,40,Wizards’ Laboratory
"Cork Stopper, drilled",0.8,Auroras,40,Wizards’ Laboratory
Cork Connector,0.1,Auroras,40,Wizards’ Laboratory
"Bellows, Small",5,Auroras,40,Wizards’ Laboratory
"Bellows, Large",10,Auroras,40,Wizards’ Laboratory
"Brazier, Bronze, Small",5,Auroras,40,Wizards’ Laboratory
"Burner, Wax",0.5,Auroras,40,Wizards’ Laboratory
Burette w/Stopper & Stand,15,Auroras,41,Wizards’ Laboratory
Lab Cabinets and Tables,varies,Auroras,41,Wizards’ Laboratory
Centrifuge,25,Auroras,41,Wizards’ Laboratory
"Clay, 1 lbs",1,Auroras,42,Wizards’ Laboratory
"Coal, Anthracite, 1 lbs",1,Auroras,42,Wizards’ Laboratory
"Coal, Bituminous, 20 lbs",1,Auroras,42,Wizards’ Laboratory
Dissection Instrument Kit,10,Auroras,42,Wizards’ Laboratory
Easel,40,Auroras,42,Wizards’ Laboratory
File set,10,Auroras,42,Wizards’ Laboratory
"Filter, Straw, 1’ sq.",0.1,Auroras,43,Wizards’ Laboratory
"Filter, Linen, 1’ sq.",0.1,Auroras,43,Wizards’ Laboratory
"Filter, Silk, 1’ sq.",1,Auroras,43,Wizards’ Laboratory
"Gloves, Canvas",2,Auroras,43,Wizards’ Laboratory
"Gloves, Leather",5,Auroras,43,Wizards’ Laboratory
Heat Mat,0.05,Auroras,43,Wizards’ Laboratory
"Heat Mat, Superior",5,Auroras,43,Wizards’ Laboratory
"Time Glass, Half-Minute",5,Auroras,43,Wizards’ Laboratory
"Time Glass, Minute",3,Auroras,43,Wizards’ Laboratory
"Time Glass, Five Minute",7,Auroras,43,Wizards’ Laboratory
"Time Glass, Ten Minute",10,Auroras,43,Wizards’ Laboratory
"Time Glass, Hour",7,Auroras,43,Wizards’ Laboratory
"Time Glass, Two Hour",15,Auroras,43,Wizards’ Laboratory
Ice Chest,35,Auroras,43,Wizards’ Laboratory
"Ice, 1 lbs",1,Auroras,43,Wizards’ Laboratory
"Jar, 6 oz.",0.08,Auroras,44,Wizards’ Laboratory
"Jar, 12 oz.",0.1,Auroras,44,Wizards’ Laboratory
"Jar, quart",0.2,Auroras,44,Wizards’ Laboratory
"Jar, 1/2 gallon",0.3,Auroras,44,Wizards’ Laboratory
"Jar, gallon",0.5,Auroras,44,Wizards’ Laboratory
"Jar, 2 gallon",1,Auroras,44,Wizards’ Laboratory
"Jar, 5 gallon",2,Auroras,44,Wizards’ Laboratory
"Jar, 10 gallon",3,Auroras,44,Wizards’ Laboratory
"Magnet, 1”",0.5,Auroras,44,Wizards’ Laboratory
"Magnet, 2”",1,Auroras,44,Wizards’ Laboratory
"Magnet, 3”",3,Auroras,44,Wizards’ Laboratory
Magnifying Lens,2,Auroras,44,Wizards’ Laboratory
Monocle,4,Auroras,44,Wizards’ Laboratory
Spectacles,8,Auroras,44,Wizards’ Laboratory
Oven,60,Auroras,44,Wizards’ Laboratory
Kiln,120,Auroras,44,Wizards’ Laboratory
"Papyrus Pad, 25 sheets",15,Auroras,45,Wizards’ Laboratory
"Pestle and Mortar, 4 oz.",3,Auroras,45,Wizards’ Laboratory
"Pestle and Mortar, 6 oz.",6,Auroras,45,Wizards’ Laboratory
Quern,20,Auroras,45,Wizards’ Laboratory
"Vial Rack, Wood, 6 vials",1,Auroras,45,Wizards’ Laboratory
"Beaker Stand, Metal",3,Auroras,45,Wizards’ Laboratory
Heating Stand,3,Auroras,45,Wizards’ Laboratory
"Retort, 5 oz",0.5,Auroras,46,Wizards’ Laboratory
"Retort, 12 oz",1,Auroras,46,Wizards’ Laboratory
"Retort, quart",5,Auroras,46,Wizards’ Laboratory
"Glass Rod, Small",0.3,Auroras,46,Wizards’ Laboratory
"Glass Rod, Medium",0.4,Auroras,46,Wizards’ Laboratory
"Glass Rod, Large",0.8,Auroras,46,Wizards’ Laboratory
"Slate, 1’ sq.",10,Auroras,46,Wizards’ Laboratory
"Slate, 10’x6’",30,Auroras,46,Wizards’ Laboratory
"Chalk, stick",0.01,Auroras,46,Wizards’ Laboratory
"Chalk, 12 sticks",0.1,Auroras,46,Wizards’ Laboratory
"Chalk, Red or Yellow, 1 stick",0.03,Auroras,46,Wizards’ Laboratory
"Chalk, Red or Yellow, 12 sticks",0.2,Auroras,46,Wizards’ Laboratory
Sparker,0.5,Auroras,46,Wizards’ Laboratory
"Sponge, Small",0.3,Auroras,46,Wizards’ Laboratory
"Sponge, Medium",0.6,Auroras,46,Wizards’ Laboratory
"Sponge, Large",1,Auroras,46,Wizards’ Laboratory
"String, 50’",0.3,Auroras,46,Wizards’ Laboratory
"String, Flaxen, 50’",0.2,Auroras,46,Wizards’ Laboratory
"Tongs, Small",1,Auroras,47,Wizards’ Laboratory
"Tongs, Large",3,Auroras,47,Wizards’ Laboratory
Vent,30,Auroras,47,Wizards’ Laboratory
"Water Reservoir, 20 gallon",20,Auroras,47,Wizards’ Laboratory
"Water Reservoir, 25 gallon",27,Auroras,47,Wizards’ Laboratory
"Water Reservoir, 50 gallon",37,Auroras,47,Wizards’ Laboratory
Spell Components,varies,Auroras,48,Wizards’ Laboratory
Billhook,5,Auroras,51,Laborers’ List
"Harness, Carriage, 1 horse",2,Auroras,51,Laborers’ List
"Harness, Carriage, 2 horse",3,Auroras,51,Laborers’ List
"Harness, Carriage, 4 horse",5,Auroras,51,Laborers’ List
"Harness, Plow, 1 horse",5,Auroras,51,Laborers’ List
"Harness, Plow, 2 horse",7,Auroras,51,Laborers’ List
"Yoke, 1 ox",8,Auroras,51,Laborers’ List
"Yoke, 2 oxen",11,Auroras,51,Laborers’ List
"Yoke, newfangled, 1 ox",15,Auroras,51,Laborers’ List
"Yoke, newfangled, 2 oxen",20,Auroras,51,Laborers’ List
"Hoe, Iron",3,Auroras,51,Laborers’ List
"Hoe, Steel",5,Auroras,51,Laborers’ List
"Mallet, 20 lbs",5,Auroras,52,Laborers’ List
"Mallet, 30 lbs",9,Auroras,52,Laborers’ List
Pick,9,Auroras,52,Laborers’ List
"Pitchfork, 3 Pronged, Maple",2,Auroras,52,Laborers’ List
"Pitchfork, 4 Pronged, Steel",9,Auroras,52,Laborers’ List
"Plow, Small",8,Auroras,52,Laborers’ List
"Plow, Large",15,Auroras,52,Laborers’ List
"Rake, Bamboo",3,Auroras,52,Laborers’ List
"Rake, Twig",0.2,Auroras,52,Laborers’ List
Reaver,5,Auroras,53,Laborers’ List
Scythe,8,Auroras,53,Laborers’ List
Scythe Blade,5,Auroras,53,Laborers’ List
Scythe Handle,4,Auroras,53,Laborers’ List
"Seed-Sower, Leather",2,Auroras,53,Laborers’ List
"Seed-Sower, Woven Basket",5,Auroras,53,Laborers’ List
"Shovel, Gardening",3,Auroras,53,Laborers’ List
"Shovel, Coal",2,Auroras,53,Laborers’ List
"Shovel, Postholer",4,Auroras,53,Laborers’ List
"Shovel, Snowshovel",3,Auroras,53,Laborers’ List
"Shovel, Hand Spade",0.2,Auroras,53,Laborers’ List
Sickle,6,Auroras,54,Laborers’ List
Sieve,5,Auroras,54,Laborers’ List
Sieve Screen,2,Auroras,54,Laborers’ List
Weeding Claw,0.7,Auroras,54,Laborers’ List
Weeding Claw Pole,0.6,Auroras,54,Laborers’ List
Wheelbarrow,15,Auroras,54,Laborers’ List
Winnowing Flail,6,Auroras,54,Laborers’ List
"Awl, 3”",0.2,Auroras,55,Laborers’ List
"Auger, 6”",0.5,Auroras,55,Laborers’ List
Bow Drill,3,Auroras,55,Laborers’ List
"Drill Bit, Needle",0.1,Auroras,55,Laborers’ List
"Drill Bit, Nail",0.07,Auroras,55,Laborers’ List
"Drill Bit, Spike",0.3,Auroras,55,Laborers’ List
"Drill Bit, Peg",0.5,Auroras,55,Laborers’ List
"Chisel, Wood/Steel",12,Auroras,55,Laborers’ List
"Chisel, Mithral",120,Auroras,55,Laborers’ List
"Clamp, 4”",2,Auroras,55,Laborers’ List
"Clamp, 8”",5,Auroras,55,Laborers’ List
"Clamp, 16”",10,Auroras,55,Laborers’ List
"Vice, 10” table-mounted",20,Auroras,55,Laborers’ List
"Nails, 1”, 1 lbs.",0.2,Auroras,56,Laborers’ List
"Nails, 2-3”, 1 lbs.",0.1,Auroras,56,Laborers’ List
"Spike, 6”, 1 dozen",3,Auroras,56,Laborers’ List
"Spike, 1’, 1 dozen",5,Auroras,56,Laborers’ List
"Bolts, 8”, 1 lbs.",3,Auroras,56,Laborers’ List
"Nuts, 1 lbs.",2,Auroras,56,Laborers’ List
"Pegs, 1/2”, per foot",0.05,Auroras,56,Laborers’ List
"Pegs, 1”, per foot",0.1,Auroras,56,Laborers’ List
"Pegs, 2”, per foot",0.3,Auroras,56,Laborers’ List
"Wood Glue, 1 lbs.",3,Auroras,56,Laborers’ List
"Mortar, 1 lbs.",0.05,Auroras,56,Laborers’ List
"Pitch, 1 lbs.",0.1,Auroras,56,Laborers’ List
"Hammer, Claw",3,Auroras,56,Laborers’ List
"Hammer, Spike",5,Auroras,56,Laborers’ List
"Hammer, Chisel",4,Auroras,56,Laborers’ List
"Mallet, Peg-Setting",8,Auroras,56,Laborers’ List
"Mallet, Tone-Setting",10,Auroras,56,Laborers’ List
"Hinge, Jewelry-Box",0.05,Auroras,56,Laborers’ List
"Hinge, Cabinet",0.07,Auroras,56,Laborers’ List
"Hinge, Door",0.2,Auroras,56,Laborers’ List
"Hinge, Barn",0.3,Auroras,56,Laborers’ List
"Hinge, Gate",0.4,Auroras,56,Laborers’ List
"Hinge, Massive Door",5,Auroras,56,Laborers’ List
"Ladder, 2’",0.7,Auroras,57,Laborers’ List
"Ladder, 6’",3,Auroras,57,Laborers’ List
"Ladder, 10’",5,Auroras,57,Laborers’ List
"Ladder, 20’",10,Auroras,57,Laborers’ List
Lathe,20,Auroras,57,Laborers’ List
"Saw, Common Crosscut",3,Auroras,57,Laborers’ List
"Saw, Two-Person Ripsaw",7,Auroras,57,Laborers’ List
"Saw, Framed Jigsaw",8,Auroras,57,Laborers’ List
"Saw, Two-Person Logging Saw",15,Auroras,57,Laborers’ List
"Saw, Diamond-Toothed Stone Hacksaw",15,Auroras,57,Laborers’ List
"Saw, Diamond-Toothed Stone Jigsaw",17,Auroras,57,Laborers’ List
"Trowel, 5”",2,Auroras,57,Laborers’ List
"Trowel, 7”",4,Auroras,57,Laborers’ List
"Trowel, 10”",5,Auroras,57,Laborers’ List
"Anvil, 70 lbs",45,Auroras,58,Laborers’ List
"Anvil, 160 lbs",95,Auroras,58,Laborers’ List
Armor Care Kit,7,Auroras,58,Laborers’ List
"Bellows, Small",5,Auroras,58,Laborers’ List
"Bellows, Large",10,Auroras,58,Laborers’ List
"Forge, Small",50,Auroras,58,Laborers’ List
"Forge, Large",120,Auroras,58,Laborers’ List
"Fat, 1 lbs.",0.05,Auroras,59,Laborers’ List
"Wax, 1 lbs.",0.5,Auroras,59,Laborers’ List
Grindstone,20,Auroras,59,Laborers’ List
Leather Strop,0.02,Auroras,59,Laborers’ List
"Hammer, Smithing",7,Auroras,59,Laborers’ List
"Metal, Raw",varies,Auroras,60,Laborers’ List
Molds,varies,Auroras,61,Laborers’ List
"Resevoir, 50 gallon",50,Auroras,62,Laborers’ List
"Tongs, Long-Handle",5,Auroras,62,Laborers’ List
"Tongs, Short-Handle",3,Auroras,62,Laborers’ List
"Pliers, Bending",2,Auroras,62,Laborers’ List
"Pliers, Small Tooling",4,Auroras,62,Laborers’ List
Beehive,10,Auroras,62,Laborers’ List
Beehive Hat & Netting,4,Auroras,62,Laborers’ List
Branding Iron,8,Auroras,63,Laborers’ List
"Branding Iron, Personalized",13,Auroras,63,Laborers’ List
"Mallet, Butcher’s",8,Auroras,63,Laborers’ List
Meat Hooks (8),5,Auroras,63,Laborers’ List
"Long-Razor, Foldable",7,Auroras,63,Laborers’ List
"Knife, 8” Skinning",5,Auroras,63,Laborers’ List
"Knife, Trail",1,Auroras,63,Laborers’ List
"Knife, Two-Blade Folding",4,Auroras,63,Laborers’ List
Shepherd’s Crook,10,Auroras,64,Laborers’ List
Shearing Pack,15,Auroras,64,Laborers’ List
Trident,17,Auroras,64,Laborers’ List
"Bedding, Cooking, Cleaning Supplies",varies,Auroras,65,Inn and Tavern
Blank Book,varies,Auroras,67,Scribes’ Desk
