Name,GP,LBS,Attributes,Type,Notes
Fire Opal,1000,-,,Gemstone,
Fishing Tackle,1,4,,Adventuring Gear,Social Utility
Flail,10,2,Bludgeoning,Martial Melee Weapon,Combat Damage
Flask or Tankard,0,1,,Adventuring Gear,Container
Flute,2,1,,Tool,Instrument
Forgery Kit,15,5,,Tool,Deception Utility
Galley,30000,0,,Vehicle (Water),Speed 4 mph
Garnet,100,-,,Gemstone,
Glaive,20,6,Slashing,Martial Melee Weapon,Combat Control Damage
Glassblower's Tools,30,5,,Tool,Utility
Glaur,3,2,,Tool,Instrument
Grappling Hook,2,4,,Adventuring Gear,Exploration Utility
Greataxe,30,6,Slashing,Martial Melee Weapon,Combat Damage
Greatclub,0.2,10,Bludgeoning,Simple Melee Weapon,Combat Damage
Greatsword,50,6,Slashing,Martial Melee Weapon,Combat Damage
Grenade Launcher,-,7,,Adventuring Gear,Combat Control Damage
Grenade Fragmentation,-,1,,Adventuring Gear,Combat Damage
Grenade Smoke,-,2,,Adventuring Gear,Combat Control
Gunpowder Keg,250,20,,Adventuring Gear,Combat Damage
Gunpowder Powder Horn,35,2,,Adventuring Gear,Combat Damage
Halberd,20,6,Slashing,Martial Melee Weapon,Combat Control Damage
Half Plate,750,40,AC 15,Medium Armor,Warding
Hammer,1,3,,Adventuring Gear,Utility
Hammer Sledge,2,10,,Adventuring Gear,Utility
Hand Drum,6,3,,Tool,Instrument
Handaxe,5,2,Slashing,Simple Melee Weapon,Combat Damage
Healer's Kit,5,3,,Adventuring Gear,Combat Healing
Hematite,10,-,,Gemstone,
Herbalism Kit,5,3,,Tool,Healing Utility
Hide,10,12,AC 12,Medium Armor,Warding
Holy Symbol,-,0,,Holy Symbol,Utility
Holy Water (Flask),25,1,,Adventuring Gear,Combat Damage Utility
Horn,3,2,,Tool,Instrument
Hourglass,25,1,,Adventuring Gear,Utility
Hunting Trap,5,25,,Adventuring Gear,Damage Utility
Ink (1 Ounce Bottle),10,0,,Adventuring Gear,Communication Consumable Social Utility
Ink Pen,0,0,,Adventuring Gear,Communication Social Utility
Insect Repellent-Incense,0,0,,Adventuring Gear,Utility
Insect Repellent-Salve,1,0,,Adventuring Gear,Utility
Jacinth,5000,-,,Gemstone,
Jade,100,-,,Gemstone,
Jasper,50,-,,Gemstone,
Javelin,0.5,2,Piercing,Simple Melee Weapon,Combat Damage
Jet,100,-,,Gemstone,
Jeweler's Tools,25,2,,Tool,Utility
Jug or Pitcher,0,4,,Adventuring Gear,Container
Keelboat,3000,0,,Vehicle (Water),Speed 1 mph
Khyber Dragonshard,-,0,,Adventuring Gear,Component
Ladder (10 foot),0,25,,Adventuring Gear,Exploration Utility
Lamp,1,1,,Adventuring Gear,Exploration Utility
Lance,10,6,Piercing,Martial Melee Weapon,Combat Control Damage
Lantern Bullseye,10,2,,Adventuring Gear,Exploration Utility
Lantern Hooded,5,2,,Adventuring Gear,Exploration Utility
Lapis Lazuli,10,-,,Gemstone,
Laser Pistol,-,2,Radiant,Firearms Ranged Weapon,Reload (50 shots)
Laser Rifle,-,7,Radiant,Firearms Ranged Weapon,Reload (30 shots)
Leather,10,10,AC 11,Light Armor,Warding
Leatherworker's Tools,5,5,,Tool,Utility
Light Hammer,2,2,Bludgeoning,Simple Melee Weapon,Combat Damage
Little Bag Of Sand,-,0,,Adventuring Gear,Utility
Lock,10,1,,Adventuring Gear,Utility Warding
Longbow,50,2,Piercing,Martial Ranged Weapon,Combat Damage
Longhorn,2,1,,Tool,Instrument
Longship,10000,0,,Vehicle (Water),Speed 3 mph
Longsword,15,3,Slashing,Martial Melee Weapon,Combat Damage
Lute,35,2,,Tool,Instrument
Lyre,30,2,,Tool,Instrument
Mace,5,4,Bludgeoning,Simple Melee Weapon,Combat Damage
Magnifying Glass,100,0,,Adventuring Gear,Detection Exploration Utility
Malachite,10,-,,Gemstone,
Malice (Inhaled),250,0,,Poison,Consumable Damage Debuff
Manacles,2,6,,Adventuring Gear,Control Utility
Mason's Tools,10,8,,Tool,Utility
Mastiff,25,0,,Mount,Speed 40 ft. Carrying Capacity 195 lbs.
Maul,10,10,Bludgeoning,Martial Melee Weapon,Combat Damage
Mess Kit,0,1,,Adventuring Gear,Social Utility
Midnight Tears (Ingested),1500,0,,Poison,Consumable Damage
Mirror Steel,5,1,,Adventuring Gear,Social Utility
Monster Hunter's Pack,33,49,,Equipment Pack,Container Control Utility
Moonstone,50,-,,Gemstone,
Morningstar,15,4,Piercing,Martial Melee Weapon,Combat Damage
Moss Agate,10,-,,Gemstone,
Musket,500,10,Piercing,Firearms Ranged Weapon,Combat Damage
Navigator's Tools,25,2,,Tool,Exploration Utility
Net,1,3,Bludgeoning,Martial Ranged Weapon,Combat Control
Obsidian,10,-,,Gemstone,
Oil (Flask),0,1,,Adventuring Gear,Combat Damage Utility
Oil Of Taggit (Contact),400,0,,Poison,Consumable Damage Debuff
Onyx,50,-,,Gemstone,
Opal,1000,-,,Gemstone,
Orb,20,3,,Arcane Focus,Utility
Padded,5,8,AC 11,Light Armor,Warding
Painter's Supplies,10,5,,Tool,Utility
Pale Tincture (Ingested),250,0,,Poison,Consumable Damage Debuff
Pan Flute,12,2,,Tool,Instrument
Paper (One Sheet),0,0,,Adventuring Gear,Communication Consumable Social Utility
Parchment (One Sheet),0,0,,Adventuring Gear,Communication Consumable Social Utility
Pearl,100,-,,Gemstone,
Perfume (Vial),5,0,,Adventuring Gear,Consumable Social Utility
Peridot,500,-,,Gemstone,
Pick Miner's,2,10,,Adventuring Gear,Utility
Pike,5,18,Piercing,Martial Melee Weapon,Combat Control Damage
Pistol,250,3,Piercing,Firearms Ranged Weapon,Combat Damage
Pistol Automatic,-,3,Piercing,Firearms Ranged Weapon,Reload (15 shots)
Piton,0,0,,Adventuring Gear,Utility
Plate,1500,65,AC 18,Heavy Armor,Warding
Playing Card Set,1,0,,Tool,Social
Poison Basic (Vial),100,0,,Poison,Combat Combustable Damage Utility
Poisoner's Kit,50,2,,Tool,Utility
Pole (10 foot),0,7,,Adventuring Gear,Exploration Utility
Pony,30,0,,Mount,Speed 40 ft. Carrying Capacity 225 lbs.
Pot Iron,2,10,,Adventuring Gear,Container
Potion Of Healing,50,1,,Potion,Combat Consumable Healing
Potter's Tools,10,3,,Tool,Utility
Pouch,1,1,,Adventuring Gear,Container
Priest's Pack,19,24,,Equipment Pack,Container Exploration Outerwear Social Utility
Purple Worm Poison (Injury),2000,0,,Poison,Consumable Damage Debuff
Quarterstaff,-,4,Bludgeoning,Simple Melee Weapon,
Quartz,50,-,,Gemstone,
Quiver,1,1,,Adventuring Gear,Container
Rain Catcher,1,5,,Adventuring Gear,Utility
Ram Portable,4,35,,Adventuring Gear,Exploration Utility
Rapier,25,2,Piercing,Martial Melee Weapon,Combat Damage
Rations (1 Day),1,2,,Adventuring Gear,Consumable Social Utility
Reliquary,5,2,,Holy Symbol,Utility
Revolver,-,3,Piercing,Firearms Ranged Weapon,Reload (6 shots)
Rhodochrosite,10,-,,Gemstone,
Riding Horse,75,0,,Mount,Speed 60 ft. Carrying Capacity 480 lbs.
Rifle Automatic,-,8,Piercing,Firearms Ranged Weapon,Reload (30 shots)
Rifle Hunting,-,8,Piercing,Firearms Ranged Weapon,Reload (5 shots)
Ring Mail,30,40,AC 14,Heavy Armor,Warding
Robes,1,4,,Adventuring Gear,Outerwear Utility
Rod,10,2,,Arcane Focus,Utility
Rope Hempen (50 feet),1,10,,Adventuring Gear,Exploration Utility
Rope Silk (50 feet),10,5,,Adventuring Gear,Exploration Utility
Rowboat,50,100,,Vehicle (Water),Speed 1.5 mph
Ruby,5000,-,,Gemstone,
Sack,0,1,,Adventuring Gear,Container
Saddle Exotic,60,40,,Adventuring Gear,Utility
Saddle Exotic,20,30,,Adventuring Gear,Utility
Saddle Military,5,15,,Adventuring Gear,Utility
Saddle Pack,10,25,,Adventuring Gear,Utility
Saddle Riding,4,8,,Adventuring Gear,Container Utility
Saddlebags,4,8,,Adventuring Gear,Utility Container
Sailing Ship,10000,0,,Vehicle (Water),Speed 2 mph
Sardonyx,50,-,,Gemstone,
Scale Mail,50,45,AC 14,Medium Armor,Warding
Scale Merchant's,5,3,,Adventuring Gear,Social Utility
Scholar's Pack,40,10,,Equipment Pack,Container Social Utility
Scimitar,25,3,,Martial Melee Weapon,Combat Damage
Sealing Wax,1,0,,Adventuring Gear,Communication Consumable Social Utility
Serpent Venom (Injury),200,0,,Poison,Consumable Damage Debuff
Shawm,2,1,,Tool,Instrument
Shield,10,6,AC 2,Shield,Warding
Shortbow,25,2,Piercing,Simple Ranged Weapon,Combat Damage
Shortsword,10,2,Piercing,Martial Melee Weapon,Combat Damage
Shotgun,-,7,Piercing,Firearms Ranged Weapon,Reload (2 shots)
Shovel,2,5,,Adventuring Gear,Utility
Siberys Dragonshard,-,0,,Adventuring Gear,Component
Sickle,1,2,Slashing,Simple Melee Weapon,Combat Damage
Signal Whistle,0.05,0,,Adventuring Gear,Communication Utility
Signet Ring,5,0,,Adventuring Gear,Communication Social Utility
Sled,20,300,,Vehicle (Land),Communication Social Utility
Sling,0,0,Bludgeoning,Simple Ranged Weapon,Exploration Movement Utility
Sling Bullets,0,2,,Ammunition,Combat Damage
Small Knife,-,0,,Adventuring Gear,Utility
Smiths Tools,20,8,,Tool,Utility
Soap,0,0,,Adventuring Gear,Consumable Social Utility
Songhorn,2,1,,Tool,Instrument
Spear,1,3,Piercing,Simple Melee Weapon,Combat Damage
Spellbook,50,3,,Adventuring Gear,Utility
Spiked Armor,75,45,AC 14,Medium Armor,Damage Warding
Spikes Iron (10),1,5,,Adventuring Gear,Utility
Spinel,100,-,,Gemstone,
Splint,200,60,AC 17,Heavy Armor,Warding
Sprig Of Mistletoe,1,0,,Druidic Focus,Utility
Spyglass,1000,1,,Adventuring Gear,Exploration Social Utility
Staff,5,4,,Arcane Focus,Utility
Stake (Wooden),-,0,,Adventuring Gear,Utility
Star Rose Quartz,50,-,,Gemstone,
Star Ruby,1000,-,,Gemstone,
Star Sapphire,1000,-,,Gemstone,
String,-,0,,Adventuring Gear,Utility
Studded Leather,45,13,AC 12,Light Armor,Warding
Tangler Grenade,-,0,,Adventuring Gear,Combat Consumable Control Utility
Tantan,6,3,,Tool,Instrument
Tej,-,0,,Adventuring Gear,
Tent Two-Person,2,20,,Adventuring Gear,Exploration Social Utility
Thelarr,2,1,,Tool,Instrument
Thieves' Tools,25,1,,Tool,Exploration Utility
Three-Dragon Ante Set,1,0,,Tool,Social
Tiger Eye,10,-,,Gemstone,
Tinderbox,0.5,1,,Adventuring Gear,Exploration Utility
Tinker's Tools,50,10,,Tool,Utility
Tocken,6,3,,Tool,Instrument
Topaz,500,-,,Gemstone,
Torch,0.01,1,,Adventuring Gear,Combat Damage Exploration Utility
Torpor (Ingested),600,0,,Poison,Consumable Damage Debuff
Totem,1,0,,Druidic Focus,Utility
Tourmaline,100,-,,Gemstone,
Trident,5,4,Piercing,Martial Melee Weapon,Combat Damage
Truth Serum (Ingested),150,0,,Poison,Consumable Debuff Utility
Turquoise,10,-,,Gemstone,
Vestments,-,0,,Adventuring Gear,Social Utility
Vial,1,0,,Adventuring Gear,Container
Viol,30,1,,Tool,Instrument
Wagon,25,400,,Vehicle (Land),Exploration Movement Utility
Wand,10,1,,Arcane Focus,Utility
War Pick,5,2,Piercing,Martial Melee Weapon,Combat Damage
Wargong,30,6,,Tool,Instrument
Warhammer,15,2,Bludgeoning,Martial Melee Weapon,Combat Damage
Warhorse,400,0,,Mount,Speed 60 ft. Carrying Capacity 540 lbs.
Warship,25000,0,,Vehicle (Water),2.5 mph
Waterskin,0.2,5,,Adventuring Gear,Container
Weaver's Tools,1,5,,Tool,Utility
Whetstone,0.01,1,,Adventuring Gear,Utility
Whip,2,3,Slashing,Martial Melee Weapon,Combat Control Damage
Woodcarver's Tools,1,5,,Tool,Utility
Wooden Staff,5,4,,Druidic Focus,Utility
Wyvern Poison (Injury),1200,0,,Poison,Consumable Damage Debuff
Yarting,35,2,,Tool,Instrument
Yellow Sapphire,1000,-,,Gemstone,
Yew Wand,10,1,,Druidic Focus,Utility
Yklwa,1,2,Piercing,Simple Melee Weapon,Combat Damage
Zircon,10,-,,Gemstone,
Zulkoon,30,6,,Tool,Instrument
